id,summary,languages,country,experience_level,deadline,interest_ids
a7da9fdc-dd74-464b-97b5-b3d3dc3f504e,"Bizzle squizzle snop spronk blizzle splurge glimmer quixle zobble chizzle fuddle. Quibble wizzle plix noggle dabble quibble fizz gobble bizzle spizzle noggle wobble jibble sprockle woggle crackle dabble. Splizzle quixle jibble mizzle frizzle quibble flabble, quazzle wibber jib sproogle. Doodle schnizzle, quazzle.","[""Byteish"",""Cyphertongue"",""Robolingo""]","Obsidian Isle",intermediate,"2024-01-27 13:22:40 +6:00","[""313fb3d7-cf5e-426f-b4d4-681bba680e72""]"
f6be4b2e-4061-4361-8e1f-7bcbda45418e,"Snop schnizzle snipple zix snizzle squabble frabble flabble zobble sprockle skizzle chizzle, blizzle sprocket whiz crackle quixle splonker splonker. Squickle bizzle crackle drizzle spizzle quip dribble wizzle jib, skizzle mizzle chizzle splizzle snort snizzle snipple flabble woggle blizzle. Sproogle trizzle fizz snip blizzle doodle drizzle squizzle blib, drizzle fuzzle sproop drizzle blizzle spizzle frozzle fuddle splurge splizzle. Splotch wobble.","[""Byteish""]","Novarctica",intermediate,"2024-02-07 13:22:40 -9:00","[]"
f2025517-c4c3-4927-8df6-06183f6146e4,"Quibble fizz bizzle squickle zizzle sprocket squickle plix sprock zizzle spronk squabble schnizzle. Skizzle plix quibble blib squizzle blip splonker schnizzle blip splizzle wibber splurge snop splurge flib wobble wump frizzle. Skizzle flib bizzle wuddle sprocket jibble noggle sprock splurge, snort doodle dabble twizzle drizzle sprockle.","[""Byteish"",""Datalex"",""Alscript""]","Obsidian Isle",intermediate,"2024-02-10 13:22:40 +3:00","[]"
38edf0ad-3e8a-4b85-a2ab-8169b30e7eda,"Squizzle squickle blip jibble gobble, splizzle snizzle snizzle spronk squabble. Quibble sprocket whip wuddle squirk chizzle, wobble zibber splurge jibber zibber spooner snop. Splurge woggle wuddle wham blizzle twizzle wobble dabble frozzle trizzle skizzle jibble splurge splotch sprock zorp sprocket. Quibble splurge spronk, flabble.","[""Hololect"",""Cyphertongue"",""Siliconian""]","Narnia",advanced,"2024-03-10 14:22:40 +8:00","[""3c0784d0-7c1b-4ab7-a4c9-c9477b457b6c""]"
aa87b951-e7c0-4a23-80c5-e51370fc1233,"Twibble zix spooner zizzle wibber squabble wobble squizzle snizzle, sprocket snipple jibble fizz splizzle crackle. Splotch quazzle schnizzle blibber flibber splotch, snizzle splotch zobble jib wobble wobble dribble. Chizzle quazzle sproogle splizzle nix, quibble flibber blabble jibble twizzle. Wham quackle spooner, quip snip dribble.","[""Siliconian""]","Solsticea",beginner,"2024-01-27 13:22:40 -9:00","[]"
760a0c73-aaa9-4fba-b24e-df18572c413e,"Whip spizzle spronk twizzle fizz splurge gobble splizzle wizzle crackle sprock schnizzle flibber drizzle blib splurge snickle. Zorp skizzle schnizzle zobble wobble frabble blizzle zorp squizzle twizzle schnizzle doodle fizz quip wizzle sprocket gobble sprocket. Spooner crackle splurge fluddle squabble gobble sproogle blib plix sprock quibble. Skizzle jib crackle crackle, splonker noodle wobble.","[""Robolingo"",""Byteish""]","Lumaria",expert,"2024-03-06 13:22:40 +12:00","[""8c3642d0-00cf-4fc6-9a4f-c91d9526de98""]"
03ff4b59-361d-49a0-874e-7c2717b4a1a5,"Frizzle snort dabble fizzbuzz squizzle snickle, wuddle zizzle flabble chizzle bizzle noodle plix. Frabble frizzle jib splotch squabble frizzle wibber frizzle mizzle wobble quazzle. Fluddle flabble wham gobble squizzle sprocket zizzle twibble wobble dabble fizz plix. Frozzle squirk mizzle crackle wham mizzle fuddle, jibble splurge wibble doodle. Frozzle schnizzle snop, dabble spizzle wuddle.","[""Siliconian"",""Technophrase""]","Astralonia",advanced,"2023-12-16 13:22:40 +0:00","[""38454229-ef74-44f4-b464-a8771bdf0b8a""]"
5f67a349-8e90-4c85-bb0e-4168695d5a72,"Wibber sprock zibber dribble sprock quibble fuddle woggle flap plix crackle zix bizzle mizzle spronk quazzle noggle. Spizzle sprocket snort skizzle sproogle crackle dribble wham jib flap. Snizzle wibble wobble jib blibber, wibble zorp flap spronk splotch. Splurge mizzle blib squizzle wibble schnizzle whip frizzle skizzle plix squizzle.","[""Cyphertongue""]","Novarctica",intermediate,"2024-02-11 13:22:40 -4:00","[]"
8853c760-0ea3-4b9a-8d27-588cc5ece2b6,"Blibber squizzle jib quibble schnizzle spronk zibber fuzzle snizzle flibber. Splonker spronk drizzle flibber whiz schnizzle blizzle squizzle splizzle zorp skizzle skizzle quackle snort fluddle fuzzle. Frozzle sproop fizz flib whip splurge zizzle splurge quibble blip sprock mizzle squizzle drizzle splurge noodle squizzle.","[""Quantumese"",""Byteish""]","Elindor",expert,"2024-03-17 14:22:40 +6:00","[]"
1395a51c-0205-483c-8868-01ffa8d74c57,"Blib fluddle twibble fizzbuzz quackle zix gobble quackle wobble quazzle gobble sprocket splotch gobble chizzle zizzle splotch blibber squirk. Crackle sproogle mizzle frizzle squirk snop snipple zizzle dribble noggle sprockle crackle snipple wibble jibble jib zorp squirk crackle. Blabble chizzle spizzle fuddle, fizzbuzz wibber schnizzle skizzle whiz.","[""Cyberspeak"",""Hololect""]","Novarctica",advanced,"2024-03-08 13:22:40 +5:00","[""08e53ef9-650c-4aef-9f79-2a6d25223563"",""89f0e2c0-76b2-4b2d-8956-6dc3ac20b07e""]"
75a3a309-2cf9-4231-b9ae-6966f6f28869,"Sprock squizzle blip fluddle zorp frizzle schnizzle schnizzle snipple noodle flib blip splurge sproogle snipple. Wobble wham spooner zix skizzle spooner, squaddle sprock schnizzle glimmer glimmer spuddle. Quazzle wobble fizz squirk splurge chizzle bizzle crackle schnizzle flibber bizzle fuddle fizzbuzz quip blib snipple wobble. Fizz quibble twibble glimmer frabble.","[""Technophrase"",""Cyphertongue""]","Obsidian Isle",intermediate,"2024-02-13 13:22:40 +4:00","[""e37d58ae-a3fb-4d6c-9f72-a837163741a2"",""2207d940-cbe4-4a71-8546-b5f52045b547""]"
1ad2b087-5023-4f40-b889-51e0817f40f5,"Zorp whip bizzle flabble fluddle spuddle crackle quibble plix blizzle flap jibber squizzle squirk twibble. Gobble squickle fluddle dabble zibber spizzle wibber quibble frabble quazzle sprocket spooner squirk noodle squabble spronk wuddle blizzle. Fluddle crackle crackle frozzle squickle flib squizzle whiz crackle splizzle.","[""Alscript"",""Cyberspeak""]","Obsidian Isle",advanced,"2023-10-25 14:22:40 +10:00","[""5ee5d3c2-4961-41af-a74f-1dd2d5bc6fe4"",""2ef947d4-4c47-4bb3-b225-fbda95d1cae0"",""bce96baf-4081-49b9-8458-1ee84b7111f2""]"
1563f2d2-f4d7-4ae9-b664-96788413a073,"Gobble blizzle jibber squabble splurge snickle dabble doodle snort spronk blibber. Quixle doodle snickle wuddle zix flibber bizzle drizzle skizzle schnizzle wizzle. Wibber mizzle quip splizzle crackle drizzle splizzle gobble wibber quackle mizzle mizzle squickle fuddle. Quazzle twibble doodle fizzbuzz flibber bizzle dribble woggle whip, drizzle snort doodle doodle wump flap.","[""Alscript""]","Astralonia",beginner,"2023-12-15 13:22:40 -6:00","[]"
14a7b422-ff56-4287-9059-537733d9fa84,"Frizzle snort dabble fizzbuzz squizzle snickle, wuddle zizzle flabble chizzle bizzle noodle plix. Frabble frizzle jib splotch squabble frizzle wibber frizzle mizzle wobble quazzle. Fluddle flabble wham gobble squizzle sprocket zizzle twibble wobble dabble fizz plix. Frozzle squirk mizzle crackle wham mizzle fuddle, jibble splurge wibble doodle. Frozzle schnizzle snop, dabble spizzle wuddle.","[""Siliconian"",""Technophrase""]","Novarctica",advanced,"2023-11-28 13:22:40 +3:00","[""c2155f03-4060-4ad9-bd81-82b86d88fa4e""]"
69d68613-0791-46c4-8b10-2d813d4708b4,"Sprock plix flib flabble quibble snop dribble, gobble spronk squabble snizzle wizzle dabble noodle dabble. Sprock spronk quibble twibble flabble crackle mizzle fizzbuzz bizzle wobble twibble. Fuddle blip dabble skizzle splotch flap wuddle frabble jib sproop whip wobble. Splizzle snip blabble, bizzle zobble zizzle.","[""Hololect"",""Robolingo"",""Technophrase""]","Novarctica",beginner,"2024-02-10 13:22:40 +9:00","[""0e00c663-31d6-44e8-bb27-d7b1e3091b0a""]"
503b70d5-a284-41d5-913e-417fcfa1e777,"Sprock fizzbuzz fizzbuzz spuddle trizzle quackle crackle, nix quibble chizzle frizzle schnizzle spooner gobble wobble. Snipple gobble sprockle plix quackle wobble fuddle, wibber schnizzle wuddle wuddle. Blibber drizzle jib quackle drizzle squizzle fizzbuzz wobble bizzle splizzle spronk splurge bizzle sproogle sproogle fizzbuzz whiz.","[""Byteish"",""Robolingo"",""Technophrase""]","Solsticea",expert,"2023-10-27 14:22:40 +10:00","[""59878b4d-799b-42af-ab23-4637f98051f8""]"
238e0d82-83d0-4664-bed1-168518a3cce5,"Zorp wump snort blabble snip spuddle chizzle frizzle splurge, dabble quip frizzle snipple fluddle noggle. Frozzle spizzle sprocket gobble snizzle, schnizzle frabble flabble snipple wobble. Frozzle spooner quixle sprock splizzle chizzle gobble bizzle fluddle wibber. Fuzzle jibble trizzle zix chizzle wobble whiz frozzle twibble wibble jibble schnizzle frabble wobble. Spizzle wibber dribble.","[""Robolingo"",""Alscript""]","Valeria",beginner,"2023-11-30 13:22:40 +3:00","[]"
3157279e-3511-482e-ba48-2e8851d1d7e9,"Sprocket bizzle jib squabble dabble wibber blip blibber blib whip spizzle dabble wibble skizzle spronk squizzle schnizzle. Snizzle snip spooner wizzle zobble wizzle zix quazzle quazzle snizzle spizzle quixle plix wobble. Doodle flabble zorp squabble frabble spuddle woggle mizzle sprock splurge sprock gobble zobble snickle wham.","[""Hololect"",""Datalex""]","Novarctica",intermediate,"2023-12-18 13:22:40 +3:00","[]"
fcc52ab5-0e6e-4171-bed0-71cb4f911ae1,"Fizzbuzz schnizzle snickle wham whiz blib, squizzle squaddle drizzle wobble jib wibble. Wizzle snop skizzle snop woggle wump chizzle spizzle fuzzle wuddle drizzle fizzbuzz jibble. Snip twizzle quip fizz blip blabble dabble quip, flib doodle snickle drizzle sproogle blabble spooner flabble sprockle sprocket. Snip wibble squabble glimmer spronk blabble.","[""Cyphertongue"",""Hololect""]","Valeria",advanced,"2023-11-22 13:22:40 -10:00","[]"
a988c1fd-faaf-4a10-b5a2-39bb3392dab2,"Woggle drizzle splizzle spooner zobble squickle fluddle frizzle frabble blip spizzle gobble squaddle. Sprockle nix wump fizzbuzz squaddle frozzle squabble wobble sprocket spuddle, spronk splotch splizzle zix spronk drizzle gobble squirk. Wibble quazzle schnizzle skizzle splurge, fizz gobble zizzle wump drizzle wham. Flibber skizzle splonker snizzle jib squizzle snickle gobble.","[""Alscript"",""Datalex"",""Cyphertongue""]","Valeria",intermediate,"2023-12-11 13:22:40 +6:00","[""6e9339ee-f09b-4393-a24f-f1b8b8bdc9d8"",""9ce7c068-3c2a-4b61-b04d-e065abfdfcb4"",""85b93534-f08e-4917-a81c-0d7d033a6e40""]"
b855fe41-6fea-4ccc-97ad-9a1e0b5f9d27,"Trizzle doodle squaddle frizzle quazzle flap snipple flap squabble wizzle chizzle schnizzle quazzle fizzbuzz sprocket gobble sprocket spronk schnizzle. Schnizzle twizzle flap chizzle whiz spronk plix glimmer wobble, glimmer fizz sproop sprock sprock quibble gobble blizzle. Fizzbuzz mizzle quazzle schnizzle bizzle bizzle.","[""Siliconian"",""Cyphertongue""]","Solsticea",intermediate,"2024-03-01 13:22:40 +3:00","[]"
38a1330f-ea82-4f10-baa1-61f979eff163,"Dabble splurge wobble spizzle snizzle flib frizzle snop chizzle jibble. Flibber zobble splizzle noodle zix glimmer wizzle snizzle glimmer jib quibble blibber squickle blip. Wump snort zizzle twizzle twizzle twizzle blibber gobble frabble twizzle blizzle mizzle bizzle squaddle. Crackle whiz twizzle, fuzzle spooner chizzle.","[""Cyphertongue"",""Technophrase""]","Dracoria",beginner,"2024-03-08 13:22:40 +7:00","[]"
d5a32fcd-7999-4c64-9bba-52c76655546e,"Snop schnizzle snipple zix snizzle squabble frabble flabble zobble sprockle skizzle chizzle, blizzle sprocket whiz crackle quixle splonker splonker. Squickle bizzle crackle drizzle spizzle quip dribble wizzle jib, skizzle mizzle chizzle splizzle snort snizzle snipple flabble woggle blizzle. Sproogle trizzle fizz snip blizzle doodle drizzle squizzle blib, drizzle fuzzle sproop drizzle blizzle spizzle frozzle fuddle splurge splizzle. Splotch wobble.","[""Byteish""]","Obsidian Isle",expert,"2024-03-07 13:22:40 -9:00","[""ad28da61-34f8-49c9-981b-16127fad85a4""]"
026d06c8-41bd-47ab-956d-88631074ebb3,"Sprocket spuddle quip squizzle spooner frabble, blabble spizzle quackle spizzle. Zibber snipple flibber gobble quibble squickle quixle gobble splurge schnizzle quibble blabble spronk blizzle schnizzle woggle. Quazzle squirk blibber wibble zibber fluddle doodle jibble plix snip crackle squirk splonker wizzle splotch doodle frabble quibble. Sprockle squizzle twizzle zorp squizzle crackle snizzle quibble fizz crackle.","[""Technophrase""]","Terravale",advanced,"2024-03-20 14:22:40 -10:00","[""edb89f32-fcda-453b-84e1-609ebc10c2c9""]"
0ae08b26-ee5f-44d5-b3ce-55926c143d71,"Twizzle wuddle fuddle squaddle squizzle fluddle splurge, trizzle fuddle drizzle squabble twibble. Spronk spronk jibble blibber frizzle snickle squirk flap, mizzle jibble wuddle blib crackle zobble. Noodle fuddle splonker blizzle fizzbuzz plix schnizzle fuzzle sproogle skizzle squirk bizzle blibber wizzle. Quazzle squizzle gobble crackle squizzle drizzle spizzle trizzle, fuzzle blabble schnizzle sprock drizzle skizzle gobble bizzle. Quazzle,.","[""Cyberspeak"",""Alscript"",""Datalex""]","Dracoria",expert,"2023-12-19 13:22:40 -0:00","[]"
77d84b6e-6356-4ec7-a1e0-f5ccb5503476,"Splurge fizz fizzbuzz sprock quixle whiz skizzle zorp bizzle fizz snipple snickle fuzzle skizzle fizz noggle mizzle bizzle. Mizzle frizzle zobble frabble gobble noodle snort sprock splizzle snop gobble flabble wizzle flap zizzle jib. Flap sprock zorp woggle quip squickle drizzle drizzle bizzle bizzle mizzle frozzle dribble squirk blizzle quixle spooner twibble skizzle.","[""Technophrase"",""Datalex""]","Dracoria",expert,"2024-02-25 13:22:40 +2:00","[""f1c43874-577c-4ef9-8761-a963c138b139"",""2baf8c0e-a93b-43b3-9746-db9bee753b43""]"
9eb34628-499b-4b17-b859-1f3f6821d3dc,"Sprock fizzbuzz fizzbuzz spuddle trizzle quackle crackle, nix quibble chizzle frizzle schnizzle spooner gobble wobble. Snipple gobble sprockle plix quackle wobble fuddle, wibber schnizzle wuddle wuddle. Blibber drizzle jib quackle drizzle squizzle fizzbuzz wobble bizzle splizzle spronk splurge bizzle sproogle sproogle fizzbuzz whiz.","[""Byteish"",""Robolingo"",""Technophrase""]","Terravale",beginner,"2023-12-30 13:22:40 -2:00","[""d7aa077b-1ec6-41d1-8a48-ab0e8ab170a8"",""9e4c9cbc-10af-4f33-91f7-ac45369eed79"",""6467a70e-bd47-46da-922f-27f6239ae1ba""]"
e6c54676-2e25-4ad8-95cb-b6d5c5088846,"Jibber snizzle quazzle splurge wham, splonker trizzle splurge schnizzle wobble noodle. Snizzle twibble splonker quazzle schnizzle flabble twibble, schnizzle splizzle wobble sproogle wobble splurge zorp quibble quixle. Snipple wobble schnizzle spuddle sprockle flabble twizzle sprock gobble blibber fizzbuzz quazzle chizzle sproop squaddle. Mizzle blip crackle zizzle schnizzle splurge sprock frizzle trizzle snipple.","[""Byteish"",""Alscript"",""Quantumese""]","Canada",intermediate,"2023-12-09 13:22:40 +1:00","[""f34f9149-0f3f-49ee-8ba7-1a196ba577f5""]"
bc936a21-cb7f-468c-9780-164df1d5a5af,"Sprock fizzbuzz fizzbuzz spuddle trizzle quackle crackle, nix quibble chizzle frizzle schnizzle spooner gobble wobble. Snipple gobble sprockle plix quackle wobble fuddle, wibber schnizzle wuddle wuddle. Blibber drizzle jib quackle drizzle squizzle fizzbuzz wobble bizzle splizzle spronk splurge bizzle sproogle sproogle fizzbuzz whiz.","[""Byteish"",""Robolingo"",""Technophrase""]","Valeria",intermediate,"2024-02-03 13:22:40 -1:00","[""285f86f6-9c22-45a7-a1a0-8b93e306913b""]"
632fd719-a9cf-4548-83b2-1519f6193584,"Flap sprockle quibble jibber schnizzle blibber twibble doodle mizzle whip wobble zix bizzle sprock squizzle sprockle. Zibber mizzle wham jibble trizzle spuddle spuddle spuddle snizzle dabble, bizzle snop splurge dribble gobble wump plix snort squabble. Bizzle snizzle sprocket wobble noggle whip wump wobble.","[""Robolingo""]","Terravale",intermediate,"2024-01-20 13:22:40 +10:00","[""75be5498-fa1c-490c-9731-8e7bc725f01a""]"
4b553aef-0d9f-4ac1-9c96-83a1f9eda7a3,"Splonker zix quackle crackle sprock zix squabble mizzle splotch fluddle, chizzle drizzle squirk zorp fuddle snip wibber sprocket. Wump blibber splurge frizzle gobble blib flib jibble, frozzle bizzle drizzle squizzle wobble blip gobble dabble flabble sprocket zix. Whip crackle squizzle jib fuddle blabble quazzle splonker sprock dribble.","[""Quantumese""]","Terravale",beginner,"2023-11-09 13:22:40 +5:00","[]"
69e6a36f-1c97-486f-8922-ffe56a6256a2,"Frizzle snort dabble fizzbuzz squizzle snickle, wuddle zizzle flabble chizzle bizzle noodle plix. Frabble frizzle jib splotch squabble frizzle wibber frizzle mizzle wobble quazzle. Fluddle flabble wham gobble squizzle sprocket zizzle twibble wobble dabble fizz plix. Frozzle squirk mizzle crackle wham mizzle fuddle, jibble splurge wibble doodle. Frozzle schnizzle snop, dabble spizzle wuddle.","[""Siliconian"",""Technophrase""]","Novarctica",intermediate,"2024-03-19 14:22:40 -2:00","[""fc8dd07e-6b39-4851-98b4-be79b0b6d2ae"",""3e9b7558-5c5b-452e-9a14-5bf1153640fd""]"
3f702fa6-953e-4de9-9ce2-457984406f14,"Gobble zix wibber quazzle fuzzle zizzle woggle, squizzle dribble glimmer splotch mizzle sproop drizzle. Noodle quibble snizzle crackle frabble squizzle frozzle splotch fizzbuzz spuddle blip zizzle whiz splonker blabble. Squaddle snipple zix wobble zorp flap, quibble wobble sproogle mizzle squizzle twibble jib. Snop squabble wobble spronk jibber splurge splurge quibble.","[""Hololect"",""Technophrase"",""Cyphertongue""]","Solsticea",beginner,"2024-03-17 14:22:40 +0:00","[""5820e8aa-ff54-4ac0-8b84-176baf1327d5""]"
